UID,Name,NationID,Born,Age,Height,Weight,PositionsDesc
1394663305,Chisom John,765,23-08-1999,16,178,0,M RL
1394663306,Nick Richardson,765,14-04-2000,16,183,0,DM 
1394663307,Albert Simons,765,07-09-1999,16,167,0,AM/S C
1394663308,Scott Burton,765,10-03-2000,16,188,0,GK 
1394663309,Rory Stockton,765,29-12-1999,16,188,0,GK 
1394663310,Ben Marshall,765,18-09-1999,16,182,0,GK 
1394665135,Keith Alcock,765,10-11-1999,16,186,0,GK 
1394665136,Andrew Woolley,765,21-04-2000,16,192,0,GK 
1394665137,Ben Fish,765,16-05-2000,16,177,0,D L
1394665138,Paul Stevenson,765,03-06-2000,16,174,0,D R
1394665139,Max Rogers,765,27-03-2000,16,184,0,D RC
1394665140,Robbie Shelley,765,09-01-2000,16,186,0,D LC
1394665141,Darren Alsop,765,21-11-1999,16,191,0,D LC
1394665142,George Hutchinson,765,26-06-2000,16,175,0,AM L
1394665143,Kyle Littler,765,21-11-1999,16,172,0,M/AM L
1394665144,Ethan Curtis,765,06-12-1999,16,184,0,M R
1394665145,Mike McGrath,765,04-03-2000,16,172,0,M/AM R
1394665146,Lee James,765,03-05-2000,16,172,0,AM C
1394665147,Adam Emery,765,28-12-1999,16,163,0,AM LC
1394665148,Ray Allinson,765,21-01-2000,16,182,0,AM LC
1394665769,Young-Keun Kim,135,15-06-1999,17,192,0,GK 
1394665770,Kyung-Chul Kim,135,03-06-1999,17,170,0,D RL
1394665771,Dae-Hwan Im,135,09-11-1999,16,172,0,D R
1394665772,Se-Hyun Park,135,24-07-1999,16,184,0,D C
1394665773,Dong-Myung Park,135,28-10-1999,16,182,0,D C
1394665774,Sang-Woo Im,135,24-08-1999,16,181,0,D C
1394665775,Jong-Hyuk Kim,135,24-05-1999,17,164,0,AM L
1394665776,Jung-bin Kwon,135,24-03-1999,17,164,0,M L
1394665777,Sang-Hoon Bae,135,11-06-1999,17,173,0,M R
1394665778,Dong-Jae Lee,135,09-03-1999,17,184,0,M RL
1394665779,Ji-Won Kim,135,03-07-1999,16,170,0,M C
1394665780,Eun-Jeong Lee,135,22-10-1999,16,177,0,AM C
1394665781,Dong-Won Lee,135,05-06-1999,17,174,0,AM LC
1394665782,Min-Woo Jeon,135,19-08-1999,16,183,0,GK 
1394665783,Hyuk-Jin Heo,135,28-01-2000,16,188,0,GK 
1394665784,Deuk-Ha Kim,135,17-06-1999,17,174,0,D RL
1394665785,Kwang-Ho Hong,135,21-03-1999,17,186,0,D R
1394665786,Dong-Hyun Lee,135,27-06-1999,17,182,0,D C
1394665787,Gwi Hyeon Chun,135,24-08-1999,16,186,0,D C
1394665788,Hyun-Joon Jung,135,26-03-1999,17,179,0,D LC
1394665789,Tae-Seok Kim,135,14-04-1999,17,168,0,M RL
1394665790,Ki-Hyun Kwon,135,17-01-2000,16,180,0,M/AM L
1394665791,Min-Seok Kwon,135,09-05-1999,17,182,0,M/AM R
1394665792,Jae-Kwon Kim,135,19-09-1999,16,166,0,M R
1394665793,Chan-Hyung Jung,135,13-01-2000,16,171,0,DM 
1394665794,Bong-Won Lim,135,23-06-1999,17,165,0,AM/S C
1394665795,Jong-Min Kum,135,25-09-1999,16,173,0,AM LC
1394665796,Min Han,135,26-03-1999,17,189,0,GK 
1394665797,Dae-Hoon Kim,135,16-08-1999,16,183,0,GK 
1394665798,Hu-Han Kim,135,16-06-1999,17,155,0,D RL
1394665799,Dong-Won Park,135,28-01-2000,16,173,0,D R
1394665800,Sang-In Lee,135,04-07-1999,16,179,0,D RC
1394665801,Sung-Jin Yoo,135,17-05-1999,17,186,0,D C
1394665802,Jae-Won Kim,135,30-11-1999,16,166,0,AM L
1394665803,Sang-Hyub Park,135,26-04-1999,17,167,0,M/AM L
1394665804,Seong-Bin Jeon,135,27-06-1999,17,169,0,M RL
1394665805,Ho Jung,135,05-06-1999,17,172,0,AM RC
1394665806,Jung-Hyun Lee,135,05-10-1999,16,168,0,AM C
1394665807,Joo-Ho Koo,135,08-05-1999,17,172,0,AM C
1394665808,Jong-Woo Kim,135,25-06-1999,17,194,0,AM LC
1394665809,Jung-Kyoo Park,135,25-12-1999,16,189,0,GK 
1394665810,Won-Kil Cha,135,16-06-1999,17,182,0,GK 
1394665811,Seung-Soo Ahn,135,02-04-1999,17,173,0,D L
1394665812,Sang-Ho Joo,135,06-12-1999,16,178,0,D RL
1394665813,Won-Shik Jang,135,03-12-1999,16,197,0,D LC
1394665814,Min Shin,135,15-12-1999,16,174,0,D C
1394665815,Chang-Il Lee,135,06-10-1999,16,188,0,D C
1394665816,Sung-Il Kim,135,28-04-1999,17,173,0,M L
1394665817,Do-Young Min,135,04-07-1999,16,176,0,M/AM L
1394665818,Sung-Joo Kim,135,15-08-1999,16,173,0,M RL
1394665819,Jae-Yong Kim,135,29-10-1999,16,169,0,AM R
1394665820,Yong-Won Bae,135,11-06-1999,17,171,0,AM C
1394665821,Sang-Hyub Hwang,135,20-03-1999,17,169,0,AM C
1394665822,Jin-Woo Kim,135,30-04-1999,17,171,0,AM C
1394665823,Sang-Joon Jeong,135,10-04-1999,17,180,0,GK 
1394665824,Ki-Han Kim,135,17-09-1999,16,183,0,GK 
1394665825,Hae-Sung Lee,135,03-08-1999,16,173,0,D L
1394665826,Won-Young Park,135,12-01-2000,16,158,0,D R
1394665827,Sang-Won Lee,135,08-04-1999,17,188,0,D RC
1394665828,Ki-Yong Yoon,135,25-09-1999,16,177,0,D C
1394665829,Jae-Yoon Kim,135,04-06-1999,17,188,0,D RC
1394665830,Chul Lee,135,15-07-1999,16,179,0,AM L
1394665831,Won-Woo Jung,135,24-02-2000,16,173,0,AM L
1394665832,Jung-Soo Park,135,21-05-1999,17,172,0,M R
1394665833,Jae-Hong Park,135,01-11-1999,16,170,0,M RL
1394665834,Sung-Joon Jeong,135,14-01-2000,16,181,0,AM RLC
1394665835,Joo-Young Kwak,135,06-02-2000,16,175,0,AM RLC
1394665836,Hae-Myung Jeong,135,12-02-2000,16,156,0,AM RC
1394666710,Sung-Bae Hwang,135,19-07-1999,16,182,0,GK 
1394666711,Young-Il Song,135,22-07-1999,16,169,0,D RL
1394666712,Hyun-Jun Yoo,135,27-03-1999,17,179,0,D R
1394666713,Min-Seok Lee,135,13-10-1999,16,184,0,D RC
1394666714,Jeong-Hyun Kim,135,07-10-1999,16,185,0,D C
1394666715,Jung-Hyun Hwang,135,15-06-1999,17,177,0,D LC
1394666716,Dong-Chan Kim,135,16-11-1999,16,181,0,M/AM L
1394666717,Seung-Yup Byeon,135,03-06-1999,17,180,0,M L
1394666718,Jae-Hyuk Moon,135,11-10-1999,16,188,0,AM R
1394666719,Yong-Joon Park,135,06-10-1999,16,178,0,M R
1394666720,Hyun-Jun Hwang,135,13-03-1999,17,170,0,AM LC
1394666721,Yong-Joon Byun,135,14-01-2000,16,172,0,DM 
1394666722,Jong-Oh Byun,135,06-09-1999,16,170,0,AM RC
1394666723,Jung-Min Kim,135,05-11-1999,16,182,0,GK 
1394666724,Seung-Jin Kim,135,11-09-1999,16,172,0,D L
1394666725,Jong-Hyun Park,135,03-01-2000,16,163,0,D R
1394666726,Myung-Ki Jeong,135,16-01-2000,16,174,0,D C
1394666727,Sung-Yong Kwon,135,28-02-1999,17,185,0,D C
1394666728,Sang-Il Cho,135,15-07-1999,16,177,0,D RC
1394666729,Jae-Yoon Heo,135,19-11-1999,16,180,0,AM L
1394666730,Yong-Chan Im,135,19-02-2000,16,176,0,M L
1394666731,Sang-Ho Cho,135,12-01-2000,16,180,0,M/AM R
1394666732,Chul-Meen Bae,135,07-09-1999,16,163,0,M/AM R
1394666733,Yong-Soo Jeong,135,22-03-1999,17,174,0,AM C
1394666734,Ji-Soo Son,135,07-06-1999,17,158,0,AM RLC
1394666735,Woo-Young Kim,135,14-06-1999,17,166,0,M LC
1394666736,Tae-Young Kang,135,01-01-2000,16,181,0,GK 
1394666737,Seok-Hyun Kim,135,18-02-2000,16,175,0,GK 
1394666738,Jung-Yeong Heo,135,14-12-1999,16,172,0,D L
1394666739,Hyun-Ho Kim,135,08-09-1999,16,169,0,D R
1394666740,Su-Hyun Kim,135,23-05-1999,17,194,0,D LC
1394666741,Yong Yoon,135,15-02-2000,16,184,0,D LC
1394666742,Kwang-Soo Kim,135,11-03-1999,17,174,0,D LC
1394666743,Suk-Hwa Moon,135,23-10-1999,16,171,0,M L
1394666744,Hee-Seong Yang,135,29-10-1999,16,166,0,AM L
1394666745,Chang-Hyun Kim,135,14-07-1999,16,174,0,M RL
1394666746,Dong-Ho Yeom,135,02-04-1999,17,178,0,M R
1394666747,Chen Guo,135,15-08-1999,16,165,0,DM 
1394666748,Dong-Joon Han,135,28-01-2000,16,176,0,DM 
1394666749,Jung-Min Cho,135,28-10-1999,16,174,0,DM 
1394666750,Sang-Min Shin,135,03-06-1999,17,182,0,GK 
1394666751,Hoon Lee,135,20-04-1999,17,171,0,D L
1394666752,Sun-Ho Shin,135,19-11-1999,16,172,0,D C
1394666753,Young-Soo Choi,135,18-02-2000,16,179,0,D RC
1394666754,Sang-Woo Jung,135,24-11-1999,16,178,0,M RL
1394666755,Sang-Soo Kim,135,27-06-1999,17,177,0,M L
1394666756,Min-Sang Ahn,135,29-01-2000,16,180,0,M/AM R
1394666757,Jong-Hoi Choi,135,18-01-2000,16,173,0,AM R
1394666758,Won-Jae Moon,135,25-08-1999,16,170,0,AM/S C
1394666759,Jung-Soo Jung,135,05-10-1999,16,170,0,M C
1394666760,Byung-Yong Kim,135,04-10-1999,16,165,0,M C
1394667157,Ji-Hoon Park,135,05-04-1999,17,185,0,S 
1394667570,Jae-Hyung Jang,135,28-06-1999,17,184,0,GK 
1394667571,Jung-Hoon Kim,135,16-06-1999,17,196,0,GK 
1394667572,Ha-Neul Kang,135,02-01-2000,16,164,0,D RL
1394667573,Min-Kyoo Ko,135,07-03-1999,17,172,0,D R
1394667574,Min-Kook Lee,135,03-01-2000,16,187,0,D LC
1394667575,Byung-Il Uh,135,10-11-1999,16,199,0,D RC
1394667576,Jae-Kwang Lee,135,16-02-2000,16,174,0,D RC
1394667577,Jin-Sung Chung,135,30-01-2000,16,173,0,AM L
1394667578,Jung-Kook Lee,135,06-02-2000,16,176,0,M RL
1394667579,Ik-Chan Park,135,26-04-1999,17,174,0,M RL
1394667580,Min-Soo Lee,135,29-01-2000,16,173,0,M RL
1394667581,Jung-Ho Seo,135,19-05-1999,17,179,0,AM LC
1394667582,Kwang-Hoon Kim,135,18-11-1999,16,178,0,AM LC
1394667583,Young-Moo Lee,135,10-10-1999,16,176,0,DM 
1394667584,Jun-Ho Ahn,135,06-10-1999,16,176,0,GK 
1394667585,Jong-Duk Kim,135,05-12-1999,16,191,0,GK 
1394667586,Jong-Duk Lee,135,11-07-1999,16,193,0,D RL
1394667587,Jong-Duk Jung,135,10-05-1999,17,168,0,D R
1394667588,Won-Keun Kang,135,27-03-1999,17,180,0,D LC
1394667589,Jeong-Min Kim,135,26-10-1999,16,187,0,D C
1394667590,Byung-Yoon Son,135,24-04-1999,17,177,0,D LC
1394667591,Jung-Hyun Oh,135,29-05-1999,17,167,0,M L
1394667592,Jung-Hyun Jang,135,21-07-1999,16,164,0,M RL
1394667593,Byung-Kuk Lee,135,15-07-1999,16,178,0,AM R
1394667594,Hyun-Taek Jo,135,24-12-1999,16,187,0,M/AM R
1394667595,Yoon-Hwan Im,135,16-11-1999,16,175,0,AM RLC
1394667596,Young-Ki Cho,135,23-01-2000,16,168,0,AM C
1394667597,Jung-Hyun Kim,135,15-07-1999,16,171,0,DM 
1394667704,Sang-Hyun Seok,135,03-03-1999,17,190,0,GK 
1394667705,Sang-Hyun Lee,135,21-06-1999,17,179,0,GK 
1394667706,Yoo-Sang Yoon,135,27-09-1999,16,180,0,D L
1394667707,Jae-Won Chun,135,04-08-1999,16,172,0,D R
1394667708,Min-Ho Shin,135,04-11-1999,16,190,0,D RC
1394667709,Jae-Young Lee,135,28-03-1999,17,192,0,D LC
1394667710,Sang-Yoon Bae,135,08-01-2000,16,180,0,D LC
1394667711,Felix Storey,1435,29-09-1999,16,164,0,M L
1394667712,Kwan-Wook Ahn,135,23-12-1999,16,171,0,M L
1394667713,Jin-Yong Lee,135,11-07-1999,16,171,0,AM R
1394667714,Jae-Young Kang,135,15-03-1999,17,191,0,M RL
1394667715,Jun-Sik Jung,135,13-04-1999,17,177,0,DM 
1394667716,Sang-Hyuk Pung,135,22-07-1999,16,171,0,M LC
1394667717,Joo-Hoi Sung,135,20-10-1999,16,171,0,AM C
1394667791,Luke Griffiths,1435,13-05-2000,16,166,0,D L
1394667792,Michael Kelly,1435,10-12-1999,16,183,0,D R
1394667793,Paolo Lo Giudice,1435,05-09-2000,15,181,0,D RC
1394667794,Clay Jacob,1435,03-10-2000,15,175,0,D RC
1394667795,Scott Williams,1435,08-12-1999,16,175,0,D LC
1394667796,Rees Pepper,1435,29-06-2000,16,172,0,AM RL
1394667797,Andrew Souttar,1435,28-04-2000,16,164,0,AM L
1394668554,Michael King,1435,02-03-2000,16,177,0,GK 
1394668555,Luke Zammit,1435,06-08-2000,15,165,0,D L
1394668556,Paul King,1435,27-05-2000,16,182,0,WB/AM L
1394668557,Tom Curtis,1435,28-01-2000,16,172,0,M/AM L
1394668558,Nick McGinley,1435,08-01-2000,16,170,0,M/AM R
1394668559,Daniel Richardson,1435,12-01-2000,16,175,0,AM R
1394668560,Adam Rudan,1435,30-06-2000,16,185,0,GK 
1394668561,Jordan Tierney,1435,27-08-2000,15,166,0,D L
1394668562,Edward Romein,1435,06-04-2000,16,176,0,D RL
1394668563,Joshua Peterson,1435,02-05-2000,16,181,0,D RC
1394668564,Aaron Smith,1435,30-10-1999,16,183,0,D C
1394668565,Steven Thompson,1435,28-10-1999,16,176,0,D C
1394668703,Darren Huckfield,765,08-04-2000,16,183,0,GK 
1394668704,Ryan Cann,765,23-08-1999,16,173,0,D RL
1394668705,Adam Wardle,765,19-12-1999,16,182,0,D C
1394668706,Liam Bond,765,23-02-2000,16,185,0,D C
1394668707,Ross Edwards,765,17-12-1999,16,173,0,M/AM L
1394668708,Terry Bottomley,765,07-05-2000,16,169,0,M/AM L
1394668709,Jack Sharpe,765,14-02-2000,16,174,0,M R
1394668710,Robert Evans,765,12-12-1999,16,190,0,M R
1394669575,Seung-Hyun Lee,135,01-05-1999,17,191,0,GK 
1394669576,Kwang-Ho Cho,135,28-10-1999,16,163,0,D L
1394669577,Han-Jin Heo,135,03-10-1999,16,186,0,D RC
1394669578,Bit-Garam Baek,135,10-06-1999,17,190,0,D LC
1394669579,Yoon-Suk Seo,135,13-02-2000,16,172,0,AM L
1394669580,Seung-Yub Cho,135,25-02-2000,16,165,0,AM L
1394669581,Chang-Hoon Hong,135,08-09-1999,16,173,0,M/AM R
1394669582,Sung-Kyoo Ahn,135,23-07-1999,16,173,0,M R
1394669583,Yoon-Suk Kim,135,01-08-1999,16,179,0,AM LC
1394669584,Jin-Yong Heo,135,01-02-2000,16,172,0,AM/S C
1394669585,Bong-Jin Bae,135,19-08-1999,16,167,0,AM C
1394669586,Dae-Dong Kim,135,08-02-2000,16,182,0,GK 
1394669587,Jung-Ho Kim,135,16-01-2000,16,188,0,GK 
1394669588,Jae-Young Lee,135,27-12-1999,16,170,0,D RL
1394669589,Dong-Hyun Jung,135,30-10-1999,16,179,0,D RL
1394669590,Seung-Wan Lee,135,17-01-2000,16,184,0,D C
1394669591,Yong-Chan Wang,135,17-02-2000,16,188,0,D C
1394669592,Jae-Eun Choi,135,30-07-1999,16,180,0,D C
1394669593,Chul-Ho Jung,135,18-10-1999,16,178,0,M L
1394669594,Sang-Hwan Jeong,135,24-07-1999,16,174,0,M L
1394669595,Min-Sung Yeo,135,09-03-1999,17,180,0,M R
1394669596,Bong-Keun Yoon,135,13-09-1999,16,171,0,AM R
1394669597,Won-Kwan Park,135,09-10-1999,16,188,0,DM 
1394669598,Sang-Hun Baek,135,07-05-1999,17,177,0,M C
1394669599,Jong-Woo Lee,135,17-01-2000,16,174,0,AM RC
1394669600,Ji-Ho Kim,135,28-09-1999,16,182,0,GK 
1394669601,Sang-Hyun Kwon,135,08-08-1999,16,189,0,GK 
1394669602,Jae-Hoon Seo,135,18-06-1999,17,171,0,D RL
1394669603,Jae-Won Kang,135,24-09-1999,16,171,0,D R
1394669604,Young-Gyu Baek,135,30-01-2000,16,187,0,D LC
1394669605,Kwang-Jin Jeong,135,18-03-1999,17,173,0,D C
1394669606,Young-Jin Park,135,02-08-1999,16,183,0,M/AM L
1394669607,Jae-Woong Lee,135,09-10-1999,16,169,0,M/AM L
1394669608,Kwang-Hoon Oh,135,13-09-1999,16,158,0,AM R
1394669609,Min Jung,135,02-04-1999,17,172,0,M R
1394669610,Jeong-Seok Lee,135,14-07-1999,16,182,0,M/AM C
1394669611,Dong-Hee Jang,135,22-08-1999,16,181,0,AM LC
1394669612,Tae-Sung Lee,135,03-03-1999,17,171,0,M/AM C
1394669613,Kyung-Hoon Lee,135,30-07-1999,16,179,0,GK 
1394669614,Min-Chul Park,135,18-01-2000,16,183,0,GK 
1394669615,Sung-Hwan Kim,135,28-02-1999,17,170,0,D L
1394669616,Young-Soo Lee,135,07-02-2000,16,171,0,D R
1394669617,Jong-Hoon Jung,135,27-03-1999,17,197,0,D C
1394669618,Su-Hwan Cho,135,05-12-1999,16,185,0,D LC
1394669619,Woo-Young Kim,135,12-09-1999,16,184,0,D C
1394669620,Chang-Hoon Bae,135,21-01-2000,16,183,0,M L
1394669621,Jung-Hee Byun,135,03-02-2000,16,175,0,AM L
1394669622,Sang-Ho Kwon,135,17-03-1999,17,170,0,AM RL
1394669623,Tae-Soo Choo,135,04-12-1999,16,190,0,M/AM R
1394669624,Tae-Goon Kwak,135,15-10-1999,16,180,0,DM 
1394669625,Jong-Jin Lee,135,07-04-1999,17,172,0,AM RLC
1394669626,Tae-Goon Han,135,03-11-1999,16,173,0,DM 
1394670384,Bailey Hurford,1435,08-09-2000,15,184,0,GK 
1394670385,Stephen Franken,1435,25-07-2000,15,178,0,GK 
1394670386,Phil Richards,1435,26-05-2000,16,178,0,D RL
1394670387,Perry Gaston,1435,29-12-1999,16,173,0,D LC
1394670388,Dave Hook,1435,10-02-2000,16,183,0,D C
1394670389,Patrick Crowley,1435,06-07-2000,15,170,0,M/AM L
1394670390,Blagoja Jovanovski,1435,07-05-2000,16,166,0,M RL
1394670391,Michael Brattan,1435,31-10-1999,16,173,0,AM RL
1394670392,Joseph McKenzie,1435,26-09-2000,15,173,0,AM RL
1394670393,Fabio Rosati,1435,22-08-2000,15,174,0,AM RC
1394670394,Perry Melling,1435,05-03-2000,16,160,0,AM C
1394670541,Siphamandla Lukhele,1435,17-01-2000,16,185,0,GK 
1394670542,George Cevenini,1435,28-01-2000,16,156,0,D R
1394670543,Ryan Rudan,1435,13-03-2000,16,183,0,D RLC
1394670544,Michael Richardson,1435,23-07-2000,15,185,0,D LC
1394670545,Stephen Turner,1435,28-03-2000,16,165,0,M L
